"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"113796";"Cyprus";"Aromas of toasted nut, vanilla nougat, orange, spice and lemon lead this sophisticated sip from Loel. On the palate, spice, smoke, nut and citrus flavors intermingle in an elegant but assertive package. This is an appealing and historic treat.";"Alasia Dessert Wine";"89";"17";"Commandaria";NA;"Susan Kostrzеwa";"Loel NV Alasia Dessert Wine Red (Commandaria)";"Red Blend";"Loel"
"104673";"Cyprus";"Vanilla, cherry and violet on the nose lead into flavors of black fruit, spices and pepper in this balanced, crisp red. Complex but refreshing, with a food-friendly character. Pair with lamb, cheeses.";"Agios Onoufrios";"87";"18";"Kathikas";NA;"Susan Kostrzewa";"Kathikac 2007 Agios Onoufrios Red (Kathikas)";"Red Blend";"Kathikac"
"104673";"Cyprus";"Vanilla, cherry and violet on the nose lead into flavors of black fruit, spices and pepper in this balanced, crisp red. Complex but refreshing, with a food-friendly character. Pair with lamb, cheeses.";"Agios Onoufrios";"87";"18";"Kathikas";NA;"Susan Kostrzewa";"Kathikac 2007 Agios Onoufrios Red (Kathikas)";"Red Blend";"Kathikac"
"70109";"Cyprus";"Fleshy peach, spice and citrus lead on this fresh, fun white from Cyprus, which displays good balance of refreshing summer fruit and minerals with an underpinning of honeyed softness. Versatile and easygoing, this will pair well with grilled fish and poultry.";"Ayios Andronicos";"88";"14";"Pafos";NA;"Susan Kоstrzеwa";"Chrysorroyiatissa 2010 Ayios Andronicos White (Pafos)";"White Blend";"Chrysorroyiatissa"
"69984";"Cyprus";"Alluring aromas of orange peel. Dried apricot, spices and cigarbox lead this historic dessert wine from Cyprus. On the palate, waves of bitter orange, cedar and sweet tobacco unfold. The finish is spicy with a honeyed sweet undertone. Fantastic with nuts.";"St. Nicholas";"89";"20";"Commandaria";NA;"Susаn Kostrzewа";"Etko 2000 St. Nicholas Xinisteri (Commandaria)";"Xinisteri";"Etko"
"44054";"Cyprus";"This Cretan indigenous white offers aromas of toast, lime and grapefruit with following g flavors pf peach, lemon and spice. The wine has seen oak but offers a brisk edge. Pair with poultry and light fish dishes.";NA;"89";"21";"Lemesos";NA;"Susаn Kоstrzеwа";"Tsiakkas 2014 Xynisteri (Lemesos)";"Xynisteri";"Tsiakkas"
"42051";"Cyprus";"This elegant Cypriot white from the monastery of Chrysorroyiatissa offers a blend of complexity and freshness. The clean, lush fruit and citrus flavors are balanced with fresh acidity and a touch of floral sweetness. An intriguing white with class.";"Ayios Andronicos";"87";"11";"Cyprus";NA;"Susan Kostrzewa";"Chrysorroyiatissa 2007 Ayios Andronicos White (Cyprus)";"White Blend";"Chrysorroyiatissa"
"30141";"Cyprus";"This Cypriot white has a rich, lemony nose and on the palate, a delicate array of white and yellow fruit. The finish is crisp and clean, but overall, the wine has some weight. A good everyday white made from an ancient grape.";NA;"85";"16";"Pafos";NA;"Susan Kostrzewa";"K&K; Vasilikon 2010 Xynisteri (Pafos)";"Xynisteri";"K&K; Vasilikon"
"30141";"Cyprus";"This Cypriot white has a rich, lemony nose and on the palate, a delicate array of white and yellow fruit. The finish is crisp and clean, but overall, the wine has some weight. A good everyday white made from an ancient grape.";NA;"85";"16";"Pafos";NA;"Susan Kоstrzеwa";"K&K; Vasilikon 2010 Xynisteri (Pafos)";"Xynisteri";"K&K; Vasilikon"
"25160";"Cyprus";"Made from Xynisteri, a white Cypriot variety, this fresh, fruity wine is both easydrinking and food friendly. The nose offers citrus, flowers and melon, with like flavors that are both light and balanced. A terrific warm weather sip.";"Alina Medium Dry White Wine";"87";"15";"Cyprus";NA;"Susan Kоstrzеwa";"Panayia 2008 Alina Medium Dry White Wine White (Cyprus)";"White Blend";"Panayia"
"23834";"Cyprus";"This Cypriot wine has a spicy, somewhat candied fruit nose that leads into savory and sweet spicebox flavors. Fragrant, fresh and complex, it's a pronounced style with a mysterious edge.";"Vamvakada";"85";"16";"Pitsilia Mountains";NA;"Susan Kostrzewa";"Tsiakkas 2004 Vamvakada Red (Pitsilia Mountains)";"Red Blend";"Tsiakkas"
"7538";"Cyprus";"An alluring nose of apples, flowers and citrus lead this delicate white from Cyprus. Pretty, unfolding flavors of apple, flowers and citrus are backed by good acidity and a touch of spice.";"Ayios Andronicos";"85";"17";"Cyprus";NA;"Susаn Kоstrzewа";"Chrysorroyiatissa 2008 Ayios Andronicos White (Cyprus)";"White Blend";"Chrysorroyiatissa"
