"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"117432";"India";"This wine features a fresh nose of grapefruit and lemon peel. It is bright on the palate, offering flavors of grapefruit, pear and green apple. It remains crisp and clean across the entire tongue right into the orange zest finish.";NA;"87";"12";"Nashik";NA;"Mike DeSimone";"Sula 2015 Chenin Blanc (Nashik)";"Chenin Blanc";"Sula"
"101305";"India";"Deep garnet in the glass, this wine has a nose of blackberry and roasting meat. It offers a sophisticated mélange of flavors, in particular ripe red cherry, smoke, roasting meat, cranberry and light spice with a hint of brambles. It is very bright on entry, but tannins sneak up and then linger on the gums beyond a smooth finish that is punctuated by a touch of smoke.";"Dindori Reserve";"92";"19";"Nashik";NA;"Mikе DеSimоnе";"Sula 2014 Dindori Reserve Shiraz (Nashik)";"Shiraz";"Sula"
"83464";"India";"Dark violet-red in color, this wine has a bouquet of blueberry, brambles and flint. It is soft on entry, with a web of tannins that spreads across the palate. Flavors of cherry preserves, bacon and juniper berry are at play in the mouth, and bright fruit notes and tactile tannins come in waves through the lingering finish.";"Estate Bottled";"90";"13";"Nashik";NA;"Mike DeSimone";"Sula 2015 Estate Bottled Shiraz (Nashik)";"Shiraz";"Sula"
"79279";"India";"Aromas of pink grapefruit, grass and coriander seed open the palate of this wine. Passion fruit, apricot, green apple and freshly chopped parsley mark the palate, with a touch of iodine on the finish.";NA;"90";"12";"Nashik";NA;"Mike DeSimone";"Sula 2013 Sauvignon Blanc (Nashik)";"Sauvignon Blanc";"Sula"
"79279";"India";"Aromas of pink grapefruit, grass and coriander seed open the palate of this wine. Passion fruit, apricot, green apple and freshly chopped parsley mark the palate, with a touch of iodine on the finish.";NA;"90";"12";"Nashik";NA;"Mikе DеSimоnе";"Sula 2013 Sauvignon Blanc (Nashik)";"Sauvignon Blanc";"Sula"
"54995";"India";"Aromas of blackberry, cherry preserves, white chocolate and a hint of green pepper prepare the taste buds for flavors of forest-fruit, smoked pork, black pepper, violet and almond blossom. A trio of fruit, savory tones and spice travels across the palate on a layer of smooth tannins, leading to a smoky finish.";"Estate Bottled";"91";"12";"Nashik";NA;"Mikе DеSimоnе";"Sula 2012 Estate Bottled Shiraz (Nashik)";"Shiraz";"Sula"
"36413";"India";"Pineapple, grapefruit, and apricot show brightly on the nose and palate. Simultaneously refreshing and sophisticated on the palate, this wine has a crisp, lingering finish laced with flavors of almond blossom.";NA;"90";"10";"Nashik";NA;"Mike DeSimone";"Sula 2013 Chenin Blanc (Nashik)";"Chenin Blanc";"Sula"
"28820";"India";"A nose of cut herbs and just-mown grass backed by notes of white peach barely prepares the taste buds for full-on citrus flavors of lemon, grapefruit and orange peel. It is bright and zesty on the palate, and the finish offers an unexpected but pleasant jolt of eucalyptus.";NA;"89";"12";"Nashik";NA;"Mike DeSimone";"Sula 2015 Sauvignon Blanc (Nashik)";"Sauvignon Blanc";"Sula"
"28820";"India";"A nose of cut herbs and just-mown grass backed by notes of white peach barely prepares the taste buds for full-on citrus flavors of lemon, grapefruit and orange peel. It is bright and zesty on the palate, and the finish offers an unexpected but pleasant jolt of eucalyptus.";NA;"89";"12";"Nashik";NA;"Mike DeSimone";"Sula 2015 Sauvignon Blanc (Nashik)";"Sauvignon Blanc";"Sula"
"6645";"India";"The nose carries notes of cassis, blackberry and bell pepper. An approachable, yet complex wine, the palate shows flavors of black cherry, bacon, black pepper, vanilla and espresso bean. Rich tannins linger without burdening the taste buds. Pleasant notes of smoke and salt linger on the finish.";"Dindori Reserve";"93";"20";"Nashik";NA;"Mike DeSimone";"Sula 2011 Dindori Reserve Shiraz (Nashik)";"Shiraz";"Sula"
