"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119040";"England";"Creamy notes of Golden Pearmain apple, shortcrust pastry and juicy green apple meld into a golden, elegant unity. The palate is creamy and gives glimpses of baked apple and shortbread, all the while holding itself with complete poise. This is grown-up, serious stuff with quite a lot of beautiful, echoing resonance, even grace.";"Bloomsbury";"92";"39";"England";NA;"Anne Krebiehl MW";"Ridgeview Estate 2013 Bloomsbury Sparkling (England)";"Sparkling Blend";"Ridgeview Estate"
"115725";"England";"Creaminess and stone are all that is signalled on the nose. The palate opens with a generous spirit that unites green apple crispness, lemon freshness, shortbread richness and chalky depth. There is an undertow of lemon oil and lasting length. There is something generous and rounded about this wine that does not stem from dosage. Intriguing, wonderfully dry, grown-up and totally lasting. This is still taut and will gain from bottle age.";"Blanc de Blancs";"93";"80";"England";NA;"Annе Krеbiеhl MW";"Gusbourne Estate 2011 Blanc de Blancs Chardonnay (England)";"Chardonnay";"Gusbourne Estate"
"107467";"England";"Fragrant overtones of acacia honey play alongside lemony notes on the nose, adding a touch of restrained, exotic decadence. A hint of chalk contributes grounding dimension. All combine to make a fragrant nose. These themes play out again on the slender but expressive palate. Pure lemon freshness brightens the notions of honey and chalk, while tiny bubbles provide endless explosions of deep, sustained flavor. This wine seems still young and taut, but the energy suggests great future development. Lemon purity on the finish appeals with its clean and invigorating nature. Drink 2017–2027.";"Blanc de Blancs";"94";"50";"England";NA;"Annе Krеbiеhl MW";"Exton Park Vineyard 2011 Blanc de Blancs Chardonnay (England)";"Chardonnay";"Exton Park Vineyard"
"107457";"England";"Restrained notes of tart red berry and pink grapefruit play on the nose of this wine. The palate is taut but has an appetizing touch of wet stone along with fresh, fruity notes and a mellow but bright autolytic core that creates a harmonious impression. Tiny bubbles fizz away beatifically, sure in the knowledge that they go straight to your heart. This is quietly convincing, just being its very elegant self.";"Rosé Bella";"94";"85";"England";NA;"Annе Krеbiеhl MW";"Bride Valley Vineyard 2014 Rosé Bella Sparkling (England)";"Sparkling Blend";"Bride Valley Vineyard"
"107452";"England";"Evocative redcurrant notes play on the nose. They become more intense on the palate where lively fizz lets them mix with lemon and pink grapefruit zestiness. This wine is lively and fresh but the exuberant surface is supported by a firm and taut structure of subtle autolysis that provides the perfect backdrop for all the tart, refreshing berry fruit. It offers freshness, joy and verve in one tidy, neat package. Lovely now, it will develop. Drink 2017–2025.";"Rosé";"94";"44";"England";NA;"Anne Krebiehl MW";"Wiston Estate Winery 2014 Rosé Sparkling (England)";"Sparkling Blend";"Wiston Estate Winery"
"107452";"England";"Evocative redcurrant notes play on the nose. They become more intense on the palate where lively fizz lets them mix with lemon and pink grapefruit zestiness. This wine is lively and fresh but the exuberant surface is supported by a firm and taut structure of subtle autolysis that provides the perfect backdrop for all the tart, refreshing berry fruit. It offers freshness, joy and verve in one tidy, neat package. Lovely now, it will develop. Drink 2017–2025.";"Rosé";"94";"44";"England";NA;"Annе Krеbiеhl MW";"Wiston Estate Winery 2014 Rosé Sparkling (England)";"Sparkling Blend";"Wiston Estate Winery"
"107451";"England";"A toasty touch of brioche joins ripe red and yellow-apple notes on the nose. The palate has even more of that autolytic richness, grounding both tart red apple and ripe lemon notes. Fine and creamy, the mousse highlights the fruit freshness while an earthier, toastier, richer background shimmers through enticingly. This harmonious and complex sparkler majors on beautiful development and pristine freshness. Lovely now, it is certain to develop further. Drink 2017–2025.";"Cuvée Brut";"94";"40";"England";NA;"Anne Krebiehl MW";"Wiston Estate Winery 2013 Cuvée Brut Sparkling (England)";"Sparkling Blend";"Wiston Estate Winery"
"107451";"England";"A toasty touch of brioche joins ripe red and yellow-apple notes on the nose. The palate has even more of that autolytic richness, grounding both tart red apple and ripe lemon notes. Fine and creamy, the mousse highlights the fruit freshness while an earthier, toastier, richer background shimmers through enticingly. This harmonious and complex sparkler majors on beautiful development and pristine freshness. Lovely now, it is certain to develop further. Drink 2017–2025.";"Cuvée Brut";"94";"40";"England";NA;"Annе Krеbiеhl MW";"Wiston Estate Winery 2013 Cuvée Brut Sparkling (England)";"Sparkling Blend";"Wiston Estate Winery"
"106713";"England";"A crisp green-apple note has an appetizing lactic edge that shimmers alongside lemon ice cream and sherbet tones. The palate shows lively, small bubbles that fizz excitedly, with further notions of green apple and tart lemon. The midpalate adds notes of sponge cake to counter the freshness, but the exuberant lemon-sherbet aspect wins the day and lasts through the finish. It would be an ace apéritif, totally refreshing and mouthwatering.";"Brut";"91";"42";"England";NA;"Anne Krebiehl MW";"Henners 2011 Brut Sparkling (England)";"Sparkling Blend";"Henners"
"104781";"England";"There is almost something of the sea breeze in this wine. An alluring iodine hint on the nose mixes with notions of green apple and the merest touch of rhubarb. The palate comes in with a smooth, fine mousse of tiny, creamy bubbles that counterpoint the inherent English briskness. Slender and elegant, the palate gears everything to a fresh finish of green apple and lemon purity that lingers. It's harmonious, refreshing and balanced.";"Brut Reserve";"93";"75";"England";NA;"Annе Krеbiеhl MW";"Bride Valley Vineyard 2014 Brut Reserve Sparkling (England)";"Sparkling Blend";"Bride Valley Vineyard"
