"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119430";"Slovenia";"This blend is garnet colored with a hint of eucalyptus in the bouquet, opening up to aromas of black fruit, forest floor and freshly picked mushroom. Minerality abounds on the palate, with flavors of red berries and black plums.";"Cuvée Morel";"90";"46";"Goriska Brda";NA;"Jeff Jenssen";"Kabaj 2008 Cuvée Morel Red (Goriska Brda)";"Bordeaux-style Red Blend";"Kabaj"
"114757";"Slovenia";"This has ebullient aromas of cherry blossom, grapefruit and yuzu peel. Structurally complex, this has concentrated flavors of sour plum and pink grapefruit. It's brisk with acidity, and there's a lavish minerality that lingers long on the finish.";"Veliko";"92";"50";"Brda";NA;"Anna Lee C. Iijima";"Movia 2007 Veliko White (Brda)";"White Blend";"Movia"
"113554";"Slovenia";"Zesty and full bodied, this has delightful aromas of freshly mowed lawn, lemon pith and grapefruit zest. It's clean, crisp and somewhat astringent on the palate, making this a great wine to pair with raw clams and oysters.";"Dry White";"86";"15";"Štajerska";NA;"Jeff Jenssen";"Pullus 2012 Dry White Sauvignon Blanc (Štajerska)";"Sauvignon Blanc";"Pullus"
"112770";"Slovenia";"Aromas of black cherry and smoked meats lead to tastes of black cherry and vanilla. It is soft both on entry and finish.";"Hand Harvested Estate Bottled";"85";"7";"Primorska";NA;"Jeff Jenssen";"Avia 2014 Hand Harvested Estate Bottled Pinot Noir (Primorska)";"Pinot Noir";"Avia"
"110527";"Slovenia";"Honeyed on the nose with bursts of ripe yellow peach and apricot, this dry, full-bodied Sauvignon is similarly soft and fruity on the palate. Fresh green floral and herb notes add vibrance to a moderately long finish.";NA;"86";"15";"Štajerska";NA;"Anna Lee C. Iijima";"Pullus 2009 Sauvignon (Štajerska)";"Sauvignon";"Pullus"
"109871";"Slovenia";"Sivi Pinot is the Slovenian name for Pinot Gris and this will delight oenophiles looking for a new orange wine. It's pinkish brown in color due to two years of barrel aging and has aromas of peach cobbler and freshly baked piecrust. Smooth in the mouth, it discloses pronounced flavors of custard and crème brûlée. Think about pairing it with some of your strongest and ripest cheeses.";"Sivi Pinot";"89";"25";"Goriska Brda";NA;"Jeff Jenssen";"Kabaj 2011 Sivi Pinot Pinot Gris (Goriska Brda)";"Pinot Gris";"Kabaj"
"109870";"Slovenia";"Rebula is known in Slovenia as “The Queen Of Brda.” This orange wine has aromas of toasted hazelnuts, black Chinese tea and mulled citrus rind. It's fermented with its skins and barrel aged for two years. A pleasant nutty oxidative character characterizes the finish. It would make any wine geek proud to pair it with a juicy steak.";NA;"89";"25";"Goriska Brda";NA;"Jeff Jenssen";"Kabaj 2011 Rebula (Goriska Brda)";"Rebula";"Kabaj"
"109555";"Slovenia";"Notes of mint and thyme add savory tones to bright, pristine flavors of cassis and black cherry in this blend of Merlot, Pinot Noir and Cabernet Sauvignon. Structured and full bodied, this has warm oak tones and striking acidity. It's delicious now, but it should continue to develop over the next five years.";"Veliko";"91";"50";"Brda";NA;"Anna Lее C. Iijima";"Movia 2004 Veliko Red (Brda)";"Red Blend";"Movia"
"107506";"Slovenia";"This Slovenian red blend of 40% Cabernet Franc, 30% Cabernet Sauvignon and 30% Merlot has aromas of raspberry, cherry and a touch of green bramble. In the mouth, there is balanced acidity with flavors of cherry pie and dried plums. The finish is persistent with grippy tannins.";"Cuvée";"88";"15";"Goriska Brda";NA;"Jeff Jenssen";"Colliano 2012 Cuvée Red (Goriska Brda)";"Bordeaux-style Red Blend";"Colliano"
"107506";"Slovenia";"This Slovenian red blend of 40% Cabernet Franc, 30% Cabernet Sauvignon and 30% Merlot has aromas of raspberry, cherry and a touch of green bramble. In the mouth, there is balanced acidity with flavors of cherry pie and dried plums. The finish is persistent with grippy tannins.";"Cuvée";"88";"15";"Goriska Brda";NA;"Jeff Jenssen";"Colliano 2012 Cuvée Red (Goriska Brda)";"Bordeaux-style Red Blend";"Colliano"
"106745";"Slovenia";"Ripe and rich in texture, this powerful Slovenian Cabernet balances a bold black-cherry flavor with loads of savory dried herb, graphite and reverberating acidity. There's a nervous quality about this wine that could smooth out with a good decant, or a few more years in a cellar.";NA;"89";"38";"Brda";NA;"Anna Lee C. Iijima";"Movia 2007 Cabernet Sauvignon (Brda)";"Cabernet Sauvignon";"Movia"
"106504";"Slovenia";"This Slovenian Cabernet Sauvignon has aromas of bramble, pencil lead and red plum. It is soft on entry into the mouth with flavors of black plum, black raspberry and a soft, sweet tannic finish.";NA;"88";"27";"Goriska Brda";NA;"Jeff Jenssen";"Bagueri 2011 Cabernet Sauvignon (Goriska Brda)";"Cabernet Sauvignon";"Bagueri"
