"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"116690";"Lebanon";"Enticing whiffs of spice, dried herb and ripe, briary berries emerge from this rich, structured wine. The fruit on the palate is lavish, almost pulpy, but it's framed by lush tannins and brisk acidity. The finish is herbal and bracing.";"Gaston Hochar";"88";"51";"Bekaa Valley";NA;"Anna Lee C. Iijima";"Château Musar 2004 Gaston Hochar Red (Bekaa Valley)";"Red Blend";"Château Musar"
"110540";"Lebanon";"Smoky and rich with a swirl of petrol, dried apple and smoked nut skin flavors on the nose and palate, this is a dry, full-bodied white blend that's intentionally savory in style. Pleasantly pithy in the midpalate with hints of sun-dried hay and orange peel.";"Musar Jeune";"86";"20";"Bekaa Valley";NA;"Anna Lee C. Iijima";"Château Musar 2009 Musar Jeune White (Bekaa Valley)";"White Blend";"Château Musar"
"99053";"Lebanon";"Light straw to the eye, this blend of 40% Muscat, 30% Viognier, 15% Sémillon and 15% Sauvignon Blanc smells of grapefruit, lemon pith and grass after a rain shower. Grapefruit, bitter almond, honeysuckle and passion fruit flavors persist through the lingering almond notes of the zesty finish.";"Altitudes";"89";"25";"Lebanon";NA;"Mikе DеSimоnе";"Ixsir 2013 Altitudes White (Lebanon)";"White Blend";"Ixsir"
"97024";"Lebanon";"A kitchen sink blend of red grape varieties from Cinsault to Tempranillo, this quirky Lebanese red is soft and pulpy with overripe fruit, mocha chocolate and a whiff of barnyard on the nose and palate.";NA;"82";"14";"Bekaa Valley";NA;"Anna Lee C. Iijima";"Le Fleuron 2008 Red (Bekaa Valley)";"Red Blend";"Le Fleuron"
"97024";"Lebanon";"A kitchen sink blend of red grape varieties from Cinsault to Tempranillo, this quirky Lebanese red is soft and pulpy with overripe fruit, mocha chocolate and a whiff of barnyard on the nose and palate.";NA;"82";"14";"Bekaa Valley";NA;"Anna Lее C. Iijima";"Le Fleuron 2008 Red (Bekaa Valley)";"Red Blend";"Le Fleuron"
"92723";"Lebanon";"Notes of ripe red berries and plums permeate the nose and palate of this bold, concentrated blend of Cinsault, Syrah and Cabernet Sauvignon. It has a rich texture, and it offers a flurry of soft tannins and hints of spice and graham cracker that linger on the finish.";"Musar Jeune";"88";"22";"Bekaa Valley";NA;"Anna Lee C. Iijima";"Château Musar 2010 Musar Jeune Red (Bekaa Valley)";"Red Blend";"Château Musar"
"86367";"Lebanon";"Dark garnet in the glass, this blend of 40% Syrah, 30% Cabernet Franc and 30% Cabernet Sauvignon offers aromas of wild raspberry, brambles and geranium leaf. It offers a good balance of tannins and acidity as well as fruit and spice flavors featuring blackberry, black cherry, chocolate, coffee, fennel bulb and black pepper. Mouth-coating tannins do not overpower, but continue well into the bright, lasting finish.";"Reserve du Couvent";"91";"22";"Bekaa Valley";NA;"Mike DeSimone";"Château Ksara 2011 Reserve du Couvent Red (Bekaa Valley)";"Red Blend";"Château Ksara"
"84122";"Lebanon";"This medium-straw-colored wine is a blend of 40% Muscat, 30% Viognier, 15% Sémillon and 15% Sauvignon Blanc. Lemon-lime aromas with touches of petrol set the stage for flavors of lemon-lime sorbet, rose petal and jasmine. It is very soft on the palate, with citrus playing second fiddle to floral flavors.";"Altitudes";"88";"25";"Lebanon";NA;"Mike DeSimone";"Ixsir 2014 Altitudes White (Lebanon)";"White Blend";"Ixsir"
"84111";"Lebanon";"Aromas of grapefruit and seawater greet the nose in this medium gold-colored Chardonnay. Flavors of pink grapefruit, lemon, orange blossom and phyllo dough mingle on the palate, held up by a strong backbone of acidity.";"Cuvée du Pape";"88";"30";"Lebanon";NA;"Mike DeSimone";"Château Ksara 2011 Cuvée du Pape Chardonnay (Lebanon)";"Chardonnay";"Château Ksara"
"80617";"Lebanon";"There's a hint of violet perfume that permeates this dry yet honeyed wine. The palate is fruity, with abundant ripe cherry and grapefruit flavors, and layers of crushed chalk and stone lend a minerally complexity that builds on the midpalate.";"Musar Jeune";"89";"22";"Bekaa Valley";NA;"Anna Lее C. Iijima";"Château Musar 2011 Musar Jeune White (Bekaa Valley)";"White Blend";"Château Musar"
"78822";"Lebanon";"Made of 61% Syrah and 39% Cabernet Sauvignon, this wine has a nose of blackberry, tart cranberry and rosemary. Flavors of black cherry preserves, strawberry, fennel bulb and nutmeg mingle on the tongue, with a nice balance of fruit and spice amid smooth tannins. The spicy finish is characterized by a burst of tart cherry and a hint of mint.";"Grande Reserve";"91";"40";"Lebanon";NA;"Mikе DеSimоnе";"Ixsir 2010 Grande Reserve Syrah-Cabernet Sauvignon (Lebanon)";"Syrah-Cabernet Sauvignon";"Ixsir"
"71852";"Lebanon";"Plum, red berry, cinnamon and mint aromas give this savory-style red from Lebanon a serious start. Soft and elegant on the palate but with a touch of spice and lively acid, the wine is balanced and unfolding, and will pair well with dishes that offer complex spice. An interesting red with exotic appeal.";"Gaston Hochar";"85";"50";"Bekaa Valley";NA;"Susan Kostrzewa";"Château Musar 1999 Gaston Hochar Red (Bekaa Valley)";"Red Blend";"Château Musar"
"71852";"Lebanon";"Plum, red berry, cinnamon and mint aromas give this savory-style red from Lebanon a serious start. Soft and elegant on the palate but with a touch of spice and lively acid, the wine is balanced and unfolding, and will pair well with dishes that offer complex spice. An interesting red with exotic appeal.";"Gaston Hochar";"85";"50";"Bekaa Valley";NA;"Susan Kostrzewa";"Château Musar 1999 Gaston Hochar Red (Bekaa Valley)";"Red Blend";"Château Musar"
"63981";"Lebanon";"Deep straw in color, this blend of 60% Viognier, 25% Sauvignon Blanc and 15% Chardonnay reveals little more than aromas of citrus. It is somewhat stiff on the palate, with flavors of lemon, grapefruit, guava and walnut. There is a touch of slivered almond and a quick splash of lemon that help to brighten up the finish.";"Grande Reserve";"85";"40";"Lebanon";NA;"Mikе DеSimonе";"Ixsir 2010 Grande Reserve White (Lebanon)";"White Blend";"Ixsir"
"61541";"Lebanon";"Deep garnet to the eye, this Rhone-style blend has a nose of cherry and aniseed. Flavors of cherry, blueberry preserves, fennel bulb, anise and violet are set in a framework of smooth tannins that gently coats the mouth beyond the bright finish.";"Terrasses de Baalbeck";"91";"27";"Bekaa Valley";NA;"Mikе DеSimonе";"Massaya 2012 Terrasses de Baalbeck Red (Bekaa Valley)";"Rhône-style Red Blend";"Massaya"
"51692";"Lebanon";"Made from 35% Obeidi, an indigenous grape usually reserved for Arak production, 35% Clairette, 15% Sauvignon Blanc and 15% Chardonnay, this wine is medium straw in the glass and has a nose of peach, Turkish delight and lilac. It is full in the mouth, offering flavors of ripe summer peach, rose petal and eucalyptus. The final moments are punctuated by a delightful blend of soft peach and strong mint flavors.";NA;"88";"15";"Bekaa Valley";NA;"Mikе DеSimonе";"Massaya 2014 White (Bekaa Valley)";"White Blend";"Massaya"
"51691";"Lebanon";"Pale apricot in the glass, this rosé made of Cinsault, Syrah and Cabernet Sauvignon has a bouquet of peach and clover. There is a bit of heft on the palate that belies its light color, with flavors of ripe peach, apple, and lemon curd. The finish is marked by touches of thyme and oregano.";NA;"88";"15";"Bekaa Valley";NA;"Mikе DеSimоnе";"Massaya 2014 Rosé (Bekaa Valley)";"Rosé";"Massaya"
