"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119699";"Romania";"Exuberantly fragrant of ripe, tropical fruit and florals, this Romanian white blend veers towards confected, but it's pleasantly brisk and apple-y on the palate. A good apéritif for casual, weekday enjoyment.";"Single Vineyard Selection Scurta Vineyard Viognier-Tamaioasa Romaneasca";"84";"12";"Dealurile Munteniei";NA;"Anna Lee C. Iijima";"Cramele Halewood 2009 Single Vineyard Selection Scurta Vineyard Viognier-Tamaioasa Romaneasca White (Dealurile Munteniei)";"White Blend";"Cramele Halewood"
"119686";"Romania";"Darkly toasted oak lends a veil of smoke and char to apple and lemon flavors in this dry, full-bodied Chardonnay. There are hints of stems and leaves on the midpalate, but overall, it's a well-composed wine with balanced acidity and alcohol.";"Terra Romana";"84";"10";"Dealu Mare";NA;"Anna Lee C. Iijima";"SERVE 2010 Terra Romana Chardonnay (Dealu Mare)";"Chardonnay";"SERVE"
"119683";"Romania";"Hints of rose petals are a curious contrast to earthier scents of soil and beets on this full bodied, slightly chunky Romanian Merlot. Pleasant for everyday dining; flavors of charred wood and preserved plum would pair nicely with an assortment of smoked meats and cheeses.";"Vitis Metamorfosis";"84";"15";"Dealu Mare";NA;"Anna Lee C. Iijima";"Cramele Halewood 2009 Vitis Metamorfosis Merlot (Dealu Mare)";"Merlot";"Cramele Halewood"
"119683";"Romania";"Hints of rose petals are a curious contrast to earthier scents of soil and beets on this full bodied, slightly chunky Romanian Merlot. Pleasant for everyday dining; flavors of charred wood and preserved plum would pair nicely with an assortment of smoked meats and cheeses.";"Vitis Metamorfosis";"84";"15";"Dealu Mare";NA;"Anna Lee C. Iijima";"Cramele Halewood 2009 Vitis Metamorfosis Merlot (Dealu Mare)";"Merlot";"Cramele Halewood"
"119573";"Romania";"Dark garnet in color, this wine carries aromas of cherry and black raspberry on the nose. The palate brings flavors of tart cherry and ripe plum. Tannins show good grip yet there's a touch of aggressive acidity in the finish.";"Premium";"87";"12";"Dealu Mare";NA;"Jeff Jenssen";"Budureasca 2015 Premium Merlot (Dealu Mare)";"Merlot";"Budureasca"
"119573";"Romania";"Dark garnet in color, this wine carries aromas of cherry and black raspberry on the nose. The palate brings flavors of tart cherry and ripe plum. Tannins show good grip yet there's a touch of aggressive acidity in the finish.";"Premium";"87";"12";"Dealu Mare";NA;"Jeff Jenssen";"Budureasca 2015 Premium Merlot (Dealu Mare)";"Merlot";"Budureasca"
"119249";"Romania";"Cramele Recas's Dreamfish series of international varieties consistently offers bang for your buck, and this vintage of Cabernet Sauvignon is no exception. Rich, full bodied and easy drinking, this offers flavors of bright black cherry and berry, framed by notes of vanilla, toast and wet graphite.";"Dreamfish";"87";"7";"Viile Timisului";NA;"Annа Lее C. Iijimа";"Cramele Recas 2011 Dreamfish Cabernet Sauvignon (Viile Timisului)";"Cabernet Sauvignon";"Cramele Recas"
"118858";"Romania";"This wine has light citrus aromas and flavors of grapefruit, tangerine and yellow peach. Pleasant fruit sweetness marks the finish.";"Demi-Sec";"85";"10";"Jidvei";NA;"Jeff Jenssen";"Jidvei 2015 Demi-Sec Pinot Grigio (Jidvei)";"Pinot Grigio";"Jidvei"
"117367";"Romania";"Smooth and simple, this wine offers aromas of citrus pith, cantaloupe and green apple. Flavors suggest honeydew and tart apple juice.";"Nomad Dealurie Munteniei";"84";"8";"Dealu Mare";NA;"Jеff Jеnssеn";"Domeniile Sahateni 2015 Nomad Dealurie Munteniei Chardonnay (Dealu Mare)";"Chardonnay";"Domeniile Sahateni"
"116941";"Romania";"This floral white carries aromas of elderberry, mango, lemon zest and lemongrass on the nose. The palate brings mango, apple and lemon zest, with a clean and crisp finish.";"Premium";"87";"12";"Dealu Mare";NA;"Jeff Jenssen";"Budureasca 2016 Premium Tămâioasă Românească (Dealu Mare)";"Tămâioasă Românească";"Budureasca"
"116941";"Romania";"This floral white carries aromas of elderberry, mango, lemon zest and lemongrass on the nose. The palate brings mango, apple and lemon zest, with a clean and crisp finish.";"Premium";"87";"12";"Dealu Mare";NA;"Jeff Jenssen";"Budureasca 2016 Premium Tămâioasă Românească (Dealu Mare)";"Tămâioasă Românească";"Budureasca"
"116709";"Romania";"Notes of sun-dried hay and green flower highlight the nose and palate of this fresh, easy-quaffing wine. Concentrated tangerine and pineapple flavors are brisk and tasty.";"UnWineD";"86";"4";"Viile Timisului";NA;"Anna Lee C. Iijima";"Cramele Recas 2011 UnWineD Pinot Grigio (Viile Timisului)";"Pinot Grigio";"Cramele Recas"
"116709";"Romania";"Notes of sun-dried hay and green flower highlight the nose and palate of this fresh, easy-quaffing wine. Concentrated tangerine and pineapple flavors are brisk and tasty.";"UnWineD";"86";"4";"Viile Timisului";NA;"Anna Lее C. Iijima";"Cramele Recas 2011 UnWineD Pinot Grigio (Viile Timisului)";"Pinot Grigio";"Cramele Recas"
"113999";"Romania";"Floral notes of elderflower, dried daisy and lemon blossom precede flavors of passion fruit and gooseberry in this medium-bodied wine. The finish is long with pleasant crisp acidity.";"Origini Reserve";"89";"18";"Dealu Mare";NA;"Jеff Jеnssеn";"Budureasca 2015 Origini Reserve Sauvignon (Dealu Mare)";"Sauvignon";"Budureasca"
"112780";"Romania";"This Romanian Pinot Noir has aromas of sweet black cherry, smoked meats and red raspberry. In the mouth there are flavors of smoke and black plums.";"Dreambird";"85";"7";"Romania";NA;"Jеff Jеnssеn";"Cramele Recas 2015 Dreambird Pinot Noir (Romania)";"Pinot Noir";"Cramele Recas"
