"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119957";"Austria";"A true TBA, its very rich, toffee-flavored, intense sweetness overpowering the botrytis dryness initially. And then you feel the acidity, the apricot and peach flavors and the shot of lime. In its texture, it is a truly intense dessert wine. Age for 10 years.";"Grand Vin";"91";"70";"Burgenland";NA;"Roger Voss";"Schloss Halbturn 2004 Grand Vin White (Burgenland)";"White Blend";"Schloss Halbturn"
"119955";"Austria";"Smooth, creamy aromas are followed by a rich, concentrated mouthful, with spice showing through the green berry fruits, apples and cream flavors. This tastes warm, inviting, with yellow fruits adding an exotic element in the aftertaste.";"Langenloiser Berg-Vogelsang";"91";"32";"Kamptal";NA;"Rоgеr Vоss";"Bründlmayer 2007 Langenloiser Berg-Vogelsang Grüner Veltliner (Kamptal)";"Grüner Veltliner";"Bründlmayer"
"119952";"Austria";"You can feel the unctuous, oily richness as soon as this wine reaches the tongue. It is dense and concentrated, with sweet green plums and a creamy texture. The old-vine fruit, enveloping the mouth, just leaves a hint of spice.";"Alte Reben";"91";"54";"Kamptal";NA;"Roger Voss";"Bründlmayer 2007 Alte Reben Grüner Veltliner (Kamptal)";"Grüner Veltliner";"Bründlmayer"
"119951";"Austria";"Bründlmayer makes a particularly felicitous brut, crisp, yeasty, with very pure green and white fruits. It has an intense minerality, tight, structured and finishing with great waves of toast. The wine spends three years on its lees, which shows in its density of flavor.";"Brut";"91";"46";"Austria";NA;"Roger Voss";"Bründlmayer 2005 Brut White (Austria)";"White Blend";"Bründlmayer"
"119940";"Austria";"Herbs, spices and green fruit aromas show the freshness of this wine. On the palate, tropical fruits, apricots and lychees also appear, fleshing out a superb Sauvignon Blanc. With its edges of apple skin tannins, it could age for 2–3 years, but it already has huge concentration and elegance. Glass stopper.";"Kranachberg";"91";"48";"Südsteiermark";NA;"Rоgеr Vоss";"Sattlerhof 2006 Kranachberg Sauvignon Blanc (Südsteiermark)";"Sauvignon Blanc";"Sattlerhof"
"119934";"Austria";"Spicy, vanilla new wood aromas dominate this wine, leading to richness, smooth caramel and smoke, followed by tropical fruits, mangoes and honey. A sophisticated Pinot Gris, rich and ageworthy.";"Grauburgunder Reserve";"91";"31";"Südoststeiermark";NA;"Roger Voss";"Winkler-Hermaden 2006 Grauburgunder Reserve Grauburgunder (Südoststeiermark)";"Grauburgunder";"Winkler-Hermaden"
"119870";"Austria";"Höpler's entry-level Grüner is fresh, green, structured with crisp apple skins—a delicious, apéritif-style wine. It offers all the fruitiness of the grape, a lively acidity adding to the pleasure. Screwcap.";NA;"86";"13";"Burgenland";NA;"Rоgеr Vоss";"Höpler 2007 Grüner Veltliner (Burgenland)";"Grüner Veltliner";"Höpler"
"119653";"Austria";"A spray of white pepper, lemon and green pear plays on the nose. The spicy palate majors in savory, yeasty notes of white pepper, miso, pea shoot and arugula, all brightened by lemon freshness. The slender and balanced palate is chock-full of flavor and leaves a lasting impression to savor.";"Stein";"93";"18";"Kamptal";NA;"Anne Krebiehl MW";"Jurtschitsch 2016 Stein Grüner Veltliner (Kamptal)";"Grüner Veltliner";"Jurtschitsch"
"119647";"Austria";"The nose is still shy and closed. Likewise, the body is taut and will take time to unfurl, but all the structure and promise is already here. This wine is firm and bright, slowly showing dense blueberry notes edged with cinnamon and pervaded by freshness. The structure is firm and still crunchy but with a juicy release. On the finish, white pepper shimmers in the blueberry fruit. Drink 2019–2029.";"Johanneshöhe";"93";"20";"Burgenland";NA;"Anne Krebiehl MW";"Prieler 2015 Johanneshöhe Blaufränkisch (Burgenland)";"Blaufränkisch";"Prieler"
"119647";"Austria";"The nose is still shy and closed. Likewise, the body is taut and will take time to unfurl, but all the structure and promise is already here. This wine is firm and bright, slowly showing dense blueberry notes edged with cinnamon and pervaded by freshness. The structure is firm and still crunchy but with a juicy release. On the finish, white pepper shimmers in the blueberry fruit. Drink 2019–2029.";"Johanneshöhe";"93";"20";"Burgenland";NA;"Anne Krebiehl MW";"Prieler 2015 Johanneshöhe Blaufränkisch (Burgenland)";"Blaufränkisch";"Prieler"
