"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119978";"Portugal";"Fresh and fruity, this is full of red cherry flavors and crisp acidity. It has some age, hinting at a more toasty future. For the moment, it's at its best after eight years aging on the lees in the bottle.";"Vértice";"90";"48";"Douro";NA;"Rоger Vоss";"Caves Transmontanas 2006 Vértice Pinot Noir (Douro)";"Pinot Noir";"Caves Transmontanas"
"119920";"Portugal";"Wood fermentation and aging have given this fine wine a strong, toasty character, complementing its natural perfume. It's rich, with layers of acidity, needing time to develop. Drink from 2019.";NA;"91";"30";"Beira Atlantico";NA;"Rоgеr Vоss";"Quinta de Foz de Arouce 2015 Cerceal (Beira Atlantico)";"Cerceal";"Quinta de Foz de Arouce"
"119890";"Portugal";"Celebrating the Portuguese discovery of the spice route, this blend from different regions is smooth, rich and ripe. It has tannins that enhance the ripe black fruits and bring out the spicy edge to the wine. It is ready to drink.";"Silk & Spice";"90";"15";"Portuguese Table Wine";NA;"Rоger Vоss";"Sogrape 2014 Silk & Spice Red (Portuguese Table Wine)";"Portuguese Red";"Sogrape"
"119890";"Portugal";"Celebrating the Portuguese discovery of the spice route, this blend from different regions is smooth, rich and ripe. It has tannins that enhance the ripe black fruits and bring out the spicy edge to the wine. It is ready to drink.";"Silk & Spice";"90";"15";"Portuguese Table Wine";NA;"Rоger Vоss";"Sogrape 2014 Silk & Spice Red (Portuguese Table Wine)";"Portuguese Red";"Sogrape"
"119889";"Portugal";"A field blend from vines grown at 1290 feet, Aged in wood, the toast shows without masking the ripe yellow and pineapple fruits. Full-bodied and with rich fruitiness and acidity, the wine is now ready to drink.";"Crooked Vines Colheita Branco";"90";"25";"Douro";NA;"Rоgеr Vоss";"Secret Spot Wines 2014 Crooked Vines Colheita Branco White (Douro)";"Portuguese White";"Secret Spot Wines"
"119889";"Portugal";"A field blend from vines grown at 1290 feet, Aged in wood, the toast shows without masking the ripe yellow and pineapple fruits. Full-bodied and with rich fruitiness and acidity, the wine is now ready to drink.";"Crooked Vines Colheita Branco";"90";"25";"Douro";NA;"Rоger Vоss";"Secret Spot Wines 2014 Crooked Vines Colheita Branco White (Douro)";"Portuguese White";"Secret Spot Wines"
"119888";"Portugal";"This mature wine that has 50% Touriga Nacional in its blend, is firm and structured, with a smooth edge of wood aging that makes it very drinkable now. A black plum skin texture gives the wine extra concentration. Drink until 2025.";"Reserva";"90";NA;"Dão";NA;"Roger Voss";"Seacampo 2011 Reserva Red (Dão)";"Portuguese Red";"Seacampo"
"119885";"Portugal";"This rich wine has a firm structure as well as ripe fruit. Foot trodden in stone troughs. It has a generous Port-like texture that is balanced by the black currant acidity and delicious fruitiness. Drink from 2017.";"Pacheca Superior";"90";NA;"Douro";NA;"Rоgеr Vоss";"Quinta da Pacheca 2013 Pacheca Superior Red (Douro)";"Portuguese Red";"Quinta da Pacheca"
"119885";"Portugal";"This rich wine has a firm structure as well as ripe fruit. Foot trodden in stone troughs. It has a generous Port-like texture that is balanced by the black currant acidity and delicious fruitiness. Drink from 2017.";"Pacheca Superior";"90";NA;"Douro";NA;"Rоgеr Vоss";"Quinta da Pacheca 2013 Pacheca Superior Red (Douro)";"Portuguese Red";"Quinta da Pacheca"
"119884";"Portugal";"The grape that is more commonly found in the Douro shows itself in a finely structured wine that has layers of wood as well as black fruits. A dark chocolate flavor stands out. Wait until 2018 to drink this dense and complex wine.";"Herdade de São Miguel";"90";"20";"Alentejano";NA;"Rоger Vоss";"Casa Agricola Alexandre Relvas 2014 Herdade de São Miguel Touriga Franca (Alentejano)";"Touriga Franca";"Casa Agricola Alexandre Relvas"
