"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"97624";"Brazil";"This is mentholated and spicy, with a brandied cherry note as the dominant aroma. Tight but not too severe, it would pair well with meat. Its flavors of raspberry and dry plum are tasty, and the finish hits hard with tightness featuring dry raspberry and cherry skin. A blend of Cabernet Sauvignon, Cab Franc, Merlot and Malbec.";"Innominabile Lote IV";"86";"35";"Santa Catarina";NA;"Michael Schachner";"Villaggio Grando NV Innominabile Lote IV Red (Santa Catarina)";"Bordeaux-style Red Blend";"Villaggio Grando"
"96003";"Brazil";"Oily aromas of orange peel and tropical fruits set up a creamy low-acid palate. Peach, melon and lychee flavors are light but pleasant, while this semisweet Moscato is tropical tasting but dilute on the finish.";"Macaw Semi-Dry";"85";"15";"Serra Gaúcha";NA;"Michael Schachner";"Casa Perini 2016 Macaw Semi-Dry Moscato (Serra Gaúcha)";"Moscato";"Casa Perini"
"96000";"Brazil";"This Brazilian Merlot smells rubbery and gaseous, with saucy berry notes. In the mouth, this is severely tannic and drying. Toasty, blackened and bitter in flavor, this ends with peppery notes and hard-pounding tannins.";"Agnus";"85";"12";"Serra Gaúcha";NA;"Michael Schachner";"Lidio Carraro 2014 Agnus Merlot (Serra Gaúcha)";"Merlot";"Lidio Carraro"
"95478";"Brazil";"A sniff of this blend of Cabernet Sauvignon, Merlot, Tannat and Ancellotta is like a walk through the sawmill. Given how oaky this smells, it's no surprise that the palate is resiny in feel, with dry woody plum flavors. Additional oak dominates the finish on this one-dimensional barrel blaster.";"Quatro";"86";"60";"Vale Trentino";NA;"Michael Schachner";"Casa Perini 2012 Quatro Red (Vale Trentino)";"Red Blend";"Casa Perini"
"95468";"Brazil";"A light color and tropical aromas of lime and lychee set up a full but flaccid palate. Yeasty bready flavors are less than fruity, while this tastes similar on a low-acid finish.";"Intenso Brut";"86";NA;"Serra Gaúcha";NA;"Michаеl Schаchnеr";"Salton NV Intenso Brut Sparkling (Serra Gaúcha)";"Sparkling Blend";"Salton"
"95467";"Brazil";"Briny grassy aromas of apple and citrus are yeasty as well. This Chardonnay-Pinot Noir blend is foamy and active, while flavors run towards slightly bitter and yeasty, with fruit hard to find. A similar finish renders this good but with issues.";"Millésime Brut";"86";"30";"Vale dos Vinhedos";NA;"Michаel Schаchner";"Miolo 2012 Millésime Brut  (Vale dos Vinhedos)";"Champagne Blend";"Miolo"
"89255";"Brazil";"Prune and metallic aromas are not fully integrated and fresh but improve with airing. The palate is heavy and tannic, a touch abrasive in feel, with big berry flavors that hammer away due to fierce tannins. Comes on big with berry fruit but always feels rough.";"DNA 99 Single Vineyard";"85";"50";"Vale dos Vinhedos";NA;"Michael Schachner";"Pizzato 2005 DNA 99 Single Vineyard Merlot (Vale dos Vinhedos)";"Merlot";"Pizzato"
"88471";"Brazil";"Hits with barrel resin and not much else. Feels screechy and shrill, with a swath of wood tannin. Acidity pushes it along in the mouth, but this is really all about resiny wood.";"Cuvée Giuseppe";"80";"25";"Vale dos Vinhedos";NA;"Michael Schachner";"Miolo 2009 Cuvée Giuseppe Chardonnay (Vale dos Vinhedos)";"Chardonnay";"Miolo"
"84904";"Brazil";"Candied-raspberry aromas are soapy and strange. This sweet Tannat from Brazil is hollow yet cloying, with candied-cherry flavors that don't cut it. While not undrinkable, this just isn't good.";"Macaw Soft";"80";"15";"Serra Gaúcha";NA;"Michael Schachner";"Casa Perini 2015 Macaw Soft Tannat (Serra Gaúcha)";"Tannat";"Casa Perini"
"84903";"Brazil";"A nose based on candied fruit is pretty much the script for all of the Macaw reds. Like the others, this Merlot is sticky but also acidic. Flavors of raspberry Kool-Aid and foxy plum are mercifully short on the finish.";"Macaw Smooth";"81";"15";"Vale Trentino";NA;"Michael Schachner";"Casa Perini 2016 Macaw Smooth Merlot (Vale Trentino)";"Merlot";"Casa Perini"
