"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119981";"Israel";"A bouquet of black cherry, tart cranberry and clove opens into flavors of cherry, anisette, espresso bean and mint, with a hint of tart cranberry. The minty notes can almost seem overly strong for a moment, but tart tones bring the fruit flavors back to the foreground. The pleasantly gripping tannins will mellow with a few more years of aging.";"Oak Aged";"90";"20";"Galilee";NA;"Mike DeSimоne";"Dalton 2012 Oak Aged Cabernet Sauvignon (Galilee)";"Cabernet Sauvignon";"Dalton"
"119962";"Israel";"Deep garnet in the glass, this has a nose of blackberry and vanilla. Flavors of blackberry, eucalyptus, tart cherry and white chocolate are well balanced, with a mix of fruity and savory notes. Tannins are mostly smooth with a touch of grip. The finish combines a pleasing blend of eucalyptus and tart cherry flavors.";"Special Reserve Winemakers' Choice";"90";"25";"Galilee";NA;"Mike DeSimоne";"Barkan 2011 Special Reserve Winemakers' Choice Shiraz (Galilee)";"Shiraz";"Barkan"
"119962";"Israel";"Deep garnet in the glass, this has a nose of blackberry and vanilla. Flavors of blackberry, eucalyptus, tart cherry and white chocolate are well balanced, with a mix of fruity and savory notes. Tannins are mostly smooth with a touch of grip. The finish combines a pleasing blend of eucalyptus and tart cherry flavors.";"Special Reserve Winemakers' Choice";"90";"25";"Galilee";NA;"Mikе DеSimоnе";"Barkan 2011 Special Reserve Winemakers' Choice Shiraz (Galilee)";"Shiraz";"Barkan"
"119243";"Israel";"This blend of 50% Cabernet Sauvignon, 20% Merlot, 10% Syrah, 7% Petit Verdot, 9% Mourvèdre and 4% Sauvignon Blanc is straightforward yet lush, with assertive oak-infused notes of plum, black raspberry and boysenberry. Spicy accents of vanilla bean and sweet smoke lend a rich impression to the close. Very drinkable now, with modest tannins and a plush texture.";"Sandro";"87";"24";"Galilee";NA;"Lаurеn Buzzео";"Alexander 2010 Sandro Cabernet Sauvignon-Merlot (Galilee)";"Cabernet Sauvignon-Merlot";"Alexander"
"119241";"Israel";"This wine starts off smelling overly ripe, with sweet orange, yellow apple flesh, peach supreme and juicy melon aromas that flood the bouquet. The mouth is full and round, but a nutty accent adds depth to the palate while medium acidity helps to lift the medium-length close.";"Gilgal";"87";"16";"Galilee";NA;"Lаuren Buzzeо";"Golan Heights Winery 2009 Gilgal Chardonnay (Galilee)";"Chardonnay";"Golan Heights Winery"
"119241";"Israel";"This wine starts off smelling overly ripe, with sweet orange, yellow apple flesh, peach supreme and juicy melon aromas that flood the bouquet. The mouth is full and round, but a nutty accent adds depth to the palate while medium acidity helps to lift the medium-length close.";"Gilgal";"87";"16";"Galilee";NA;"Laurеn Buzzео";"Golan Heights Winery 2009 Gilgal Chardonnay (Galilee)";"Chardonnay";"Golan Heights Winery"
"119146";"Israel";"Dark ruby to the eye, this wine offers a nose of raspberry, talc and violet. There is a nice mix of baking spice and fruit flavors, dominated by blackberry, black cherry, clove and anise with touches of black pepper. The finish is reminiscent of cherry pie, with mingling flavors of cherry, spice and vanilla.";"Gilgal";"91";"15";"Galilee";NA;"Mike DeSimone";"Golan Heights Winery 2012 Gilgal Cabernet Merlot (Galilee)";"Cabernet Merlot";"Golan Heights Winery"
"118973";"Israel";"Inky garnet in color, this wine offers aromas of blackberry and green pepper. There is a good combination of fruit and savory flavors, notably dark plum, black cherry, smoked meat and roasted red pepper. Smooth tannins lead to a zippy pomegranate finish.";"Alon";"90";"22";"Upper Galilee";NA;"Mikе DеSimonе";"Galil Mountain 2013 Alon Red (Upper Galilee)";"Red Blend";"Galil Mountain"
"117945";"Israel";"With aromas of black cherry and smoke, this inky garnet-colored wine features flavors of raspberry, pomegranate, clove, and coffee bean with a whiff of eucalyptus. Modest tannins offer a backdrop for a medley of fruit, spice and herb flavors that come to a head in a bracing finish with a touch of smoke.";"Mt. Amasa";"90";"45";"Judean Hills";NA;"Mike DeSimone";"Yatir 2012 Mt. Amasa Red (Judean Hills)";"Red Blend";"Yatir"
"117296";"Israel";"Aromas of black cherry, almond and espresso bean open on the palate to flavors of cassis, black cherry, strawberry, black pepper and custard. Smooth tannins linger on the palate accompanied by flavors of juicy fruit.";"Gilgal";"91";"15";"Galilee";NA;"Mike DeSimone";"Golan Heights Winery 2011 Gilgal Cabernet Sauvignon (Galilee)";"Cabernet Sauvignon";"Golan Heights Winery"
"117265";"Israel";"With only 2,940 bottles produced, this is a limited-edition wine that's worth the hunt. Vanilla and oaky spice aromas immediately waft from the glass, with the core of dark berries and fleshy plum fruit following shortly after. Heavy and bold on the palate, the firm structure complements the concentrated blackberry and cherry flavors. Nuances of cocoa powder and tea leaves linger on the close.";"Reserve Wild";"90";"56";"Judean Hills";NA;"Lаuren Buzzeo";"Recanati 2010 Reserve Wild Carignan (Judean Hills)";"Carignan";"Recanati"
"117264";"Israel";"Although this wine is currently a bit firm and closed, it has the stuffing for great evolution and shows promise for a long future. Dark, ripe raspberry and strawberry fruit characters are laced with touches of Asian spice, reduced balsamic and wild game. The medium-weight mouthfeel boasts chewy tannins that persist long into the finish. Drink 2014–2018.";"Reserve";"90";"50";"Galilee";NA;"Laurеn Buzzеo";"Recanati 2010 Reserve Syrah-Viognier (Galilee)";"Syrah-Viognier";"Recanati"
"117056";"Israel";"This deep-violet colored wine has a bouquet of cherry and butterscotch. Powerful tannins lay the groundwork for bold fruit flavors of blackberry and cranberry laced with notes of butterscotch, pipe tobacco and cocoa. It is full in the mouth, with a lingering finish marked by a pleasing vein of bright acidity.";"Reserve";"93";"40";"Galilee";NA;"Mikе DеSimоnе";"Recanati 2014 Reserve Syrah (Galilee)";"Syrah";"Recanati"
"117014";"Israel";"Made from 80% Cabernet Sauvignon and 20% Petit Verdot, this is a ripe and lush wine that boasts big, jammy black-fruit aromas and flavors. Touches of licorice and sage add depth to the palate, while a soft toasty accent lingers on the medium-length finish.";"Yogev";"86";"15";"Galilee";NA;"Lauren Buzzeo";"Binyamina 2010 Yogev Red (Galilee)";"Bordeaux-style Red Blend";"Binyamina"
"116686";"Israel";"Forward aromas and flavors of yellow apple, peach flesh and orange rind lead this wine, with secondary highlights of oaky spice and toast that add depth to the palate. The mouthfeel is round and filling, with fresh acidity and a medium-length finish.";NA;"88";"17";"Galilee";NA;"Lauren Buzzeo";"Recanati 2011 Chardonnay (Galilee)";"Chardonnay";"Recanati"
"116686";"Israel";"Forward aromas and flavors of yellow apple, peach flesh and orange rind lead this wine, with secondary highlights of oaky spice and toast that add depth to the palate. The mouthfeel is round and filling, with fresh acidity and a medium-length finish.";NA;"88";"17";"Galilee";NA;"Lauren Buzzeo";"Recanati 2011 Chardonnay (Galilee)";"Chardonnay";"Recanati"
"116524";"Israel";"Aromas of blueberry and clove, with a soft hint of cinnamon set the scene for flavors of blackberry, anise, black pepper, vanilla and white chocolate. A grid of smooth tannins makes way for a finish dotted by flavors of dark berry, spice, and cranberry sauce.";"3400 Premium";"93";"17";"Judean Hills";NA;"Mikе DеSimоnе";"Jerusalem Wineries 2013 3400 Premium Shiraz (Judean Hills)";"Shiraz";"Jerusalem Wineries"
"116521";"Israel";"Deep red violet in color, this wine has a bouquet of blueberries and mountainside herbs. It is fresh on the palate, with soft tannins dominated by flavors of black cherry, strawberry, cranberry, thyme and orange zest. There is a nice play of berries and roasting herbs lingering on the soft finish.";NA;"93";"17";"Galilee";NA;"Mike DeSimone";"Recanati 2014 Shiraz (Galilee)";"Shiraz";"Recanati"
"116521";"Israel";"Deep red violet in color, this wine has a bouquet of blueberries and mountainside herbs. It is fresh on the palate, with soft tannins dominated by flavors of black cherry, strawberry, cranberry, thyme and orange zest. There is a nice play of berries and roasting herbs lingering on the soft finish.";NA;"93";"17";"Galilee";NA;"Mike DeSimone";"Recanati 2014 Shiraz (Galilee)";"Shiraz";"Recanati"
"115927";"Israel";"Hints of green pepper and sweet spice add character to the more standard notes of plum guts and ripe cherry. Lighter weight but round in the mouth with good balance and a clean, medium-length finish. Drink now.";"Private Collection Kosher";"86";"18";"Galilee";NA;"Lauren Buzzeo";"Carmel 2007 Private Collection Kosher Merlot (Galilee)";"Merlot";"Carmel"
"115801";"Israel";"This wine offers a bouquet of raspberry and smoked meat with a touch of bell pepper. Flavors of black cherry, smoked meat, black pepper and eucalyptus mingle on the palate, with savory notes outweighing fruit. Soft tannins coat the mouth, and ultimately black cherry lingers on the back palate.";"French Blend";"89";"28";"Galilee";NA;"Mike DeSimоne";"Or Haganuz 2012 French Blend Red (Galilee)";"Bordeaux-style Red Blend";"Or Haganuz"
