"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119851";"Greece";"Black cherry, violet and pepper on the nose lead into a spirited red blend of spicy pepper, leather and red fruit. Ageable and elegant, this wine balances indigenous character with accessible style.";"Filiria";"89";"35";"Goumenissa";NA;"Susan Kostrzewa";"Boutari 2008 Filiria Red (Goumenissa)";"Red Blend";"Boutari"
"119262";"Greece";"The unique nose on this wine—which is comprised of cherry, chocolate and warm spice aromas—is followed on the palate by a delicate wave of cherry, raspberry and vanilla. It's balanced, but has a sweet touch.";"Idyll";"87";"18";"Crete";NA;"Susan Kostrzewa";"Lyrarakis 2011 Idyll Rosé (Crete)";"Rosé";"Lyrarakis"
"119250";"Greece";"Floral, fresh and delicate fruit aromas are followed by rich citrus, white fruit and flower flavors. This is full bodied yet elegant, with a feminine edge. Pair it with Indian or Thai dishes.";NA;"87";"35";"Epanomi";NA;"Susan Kostrzewa";"Gerovassiliou 2011 White (Epanomi)";"White Blend";"Gerovassiliou"
"119250";"Greece";"Floral, fresh and delicate fruit aromas are followed by rich citrus, white fruit and flower flavors. This is full bodied yet elegant, with a feminine edge. Pair it with Indian or Thai dishes.";NA;"87";"35";"Epanomi";NA;"Susan Kostrzewa";"Gerovassiliou 2011 White (Epanomi)";"White Blend";"Gerovassiliou"
"118897";"Greece";"Floral and exotic fruit aromas are followed by an elegant balance of white peach and citrus fruit flavors in this layered white. The wine is complex but lifted with refreshing acidity. The finish is a combination of lush fruit and spice.";"Kanenas";"91";"19";"Greece";NA;"Susаn Kоstrzеwа";"Tsantali 2015 Kanenas White (Greece)";"White Blend";"Tsantali"
"118755";"Greece";"A nose of peach, nutmeg, toasted nut and honey leads this Viognier from Splitsa. On the palate, smooth waves of white fruit, orange blossom and honey are expressive but refreshing, thanks to the balanced acidity. A fun wine with class.";"Eclectique Spilitsa";"88";"40";"Peloponnese";NA;"Susan Kоstrzеwa";"Skouras 2009 Eclectique Spilitsa Viognier (Peloponnese)";"Viognier";"Skouras"
"118739";"Greece";"Black cherry, vanilla and cedar on the nose of this confident blend are followed by refreshing, spicy flavors of plum, blackberry, cinnamon and cedar. This wine has a kick to it but the fruit's deep softness balances it out. A go-to red with true class.";NA;"88";"36";"Florina";NA;"Susan Kostrzеwa";"Alpha Estate 2007 Red (Florina)";"Red Blend";"Alpha Estate"
"118578";"Greece";"Lemon and slate aromas give this wine an immediate poise, but there's much more complexity on the palate. Mineral-driven but full of fresh and full-bodied citrus, pineapple and grapefruit, the wine finishes with a chalky and brisk tidiness. A truly delicious expression of a very distinctive grape.";NA;"92";"25";"Santorini";NA;"Susan Kostrzewa";"Tselepos 2014 Assyrtico (Santorini)";"Assyrtico";"Tselepos"
"118423";"Greece";"This blend of Sauvignon Blanc and Moschofilero offers floral aromas of rose, lemon blossom and a touch of spice. On the palate, the wine is focused with a floral flair. Tropical fruit, citrus and rose are layered but the wine finishes clean and with pep.";"Mountain Sun";"89";"16";"Peloponnese";NA;"Susan Kоstrzewa";"Semeli 2015 Mountain Sun White (Peloponnese)";"White Blend";"Semeli"
"118326";"Greece";"Spice, citrus and minerals typify the nose and palate of this fun white. Soft in style and easy drinking, it will pair well with salads, fruit and seafood.";"Mountain Slopes";"83";"18";"Greece";NA;"Susаn Kоstrzеwа";"Emery 2008 Mountain Slopes Athiri (Greece)";"Athiri";"Emery"
"118317";"Greece";"Cinnamon, vanilla, coffee and red berries on the nose are followed by flavors of pepper, cinnamon and forest berries in this plucky Syrah. Spicy with a spin of tart fruit, the wine nevertheless has a full-bodied feel.";NA;"84";"34";"Cephalonia";NA;"Susan Kоstrzеwa";"Gentilini 2007 Syrah (Cephalonia)";"Syrah";"Gentilini"
"118220";"Greece";"Clove, menthol, herb and spice give this fresh and distinctive red blend an indigenous edge. Toast, pepper, cinnamon spice and red cherry flavors are appealing and ageable. The Cabernet and Merlot add dimension.";"Dry";"87";"22";"Vin de Pays de Velvendo";NA;"Susan Kostrzewa";"Ktima Voyatzi 2010 Dry Red (Vin de Pays de Velvendo)";"Red Blend";"Ktima Voyatzi"
"118220";"Greece";"Clove, menthol, herb and spice give this fresh and distinctive red blend an indigenous edge. Toast, pepper, cinnamon spice and red cherry flavors are appealing and ageable. The Cabernet and Merlot add dimension.";"Dry";"87";"22";"Vin de Pays de Velvendo";NA;"Susan Kostrzewa";"Ktima Voyatzi 2010 Dry Red (Vin de Pays de Velvendo)";"Red Blend";"Ktima Voyatzi"
"118215";"Greece";"Cinnamon, pepper and cedar lead on this elegant red. Flavors of toasted nut, smoke, and cocoa follow in a pert, clean wave. Pair with lamb, smoked meat or robust cheese.";NA;"87";"13";"Naoussa";NA;"Susan Kоstrzewa";"Tsantali 2009 Xinomavro (Naoussa)";"Xinomavro";"Tsantali"
"118215";"Greece";"Cinnamon, pepper and cedar lead on this elegant red. Flavors of toasted nut, smoke, and cocoa follow in a pert, clean wave. Pair with lamb, smoked meat or robust cheese.";NA;"87";"13";"Naoussa";NA;"Susan Kostrzеwa";"Tsantali 2009 Xinomavro (Naoussa)";"Xinomavro";"Tsantali"
"117016";"Greece";"Spicy black pepper, smoke and crushed herb aromas give this red an exotic feel. On the palate, lush red berry flavors mingle with herbs, pepper and vanilla spice. A distinctive wine and a great partner to dried meats, olives and ripe cheeses.";NA;"88";"35";"Pangeon";NA;"Susan Kostrzewa";"Estate Biblia Chora 2009 Red (Pangeon)";"Red Blend";"Estate Biblia Chora"
"116101";"Greece";"This white blend offers aromas of melon, vanilla and mango, followed by a rich array of creamy white fruit and pineapple flavors. Balanced by a pronounced minerality and a touch of spice, it's a wine that will pair well with richer poultry and fish dishes.";"The Fourth Dimension";"88";"20";"Macedonia";NA;"Susаn Kostrzewа";"Stelios Kechris 2015 The Fourth Dimension White (Macedonia)";"White Blend";"Stelios Kechris"
"116101";"Greece";"This white blend offers aromas of melon, vanilla and mango, followed by a rich array of creamy white fruit and pineapple flavors. Balanced by a pronounced minerality and a touch of spice, it's a wine that will pair well with richer poultry and fish dishes.";"The Fourth Dimension";"88";"20";"Macedonia";NA;"Susan Kоstrzеwa";"Stelios Kechris 2015 The Fourth Dimension White (Macedonia)";"White Blend";"Stelios Kechris"
"115863";"Greece";"Refreshing and friendly, this white is a great bargain and a consistent everyday sip. The nose starts with aromas of lemon, pear and spice, and on the palate, there's a delicate balance of acid and fruit. Flavorful and fun.";NA;"86";"15";"Mantinia";NA;"Susan Kostrzewa";"Kourtaki NV Moschofilero (Mantinia)";"Moschofilero";"Kourtaki"
"115744";"Greece";"Aromas of citrus, melon and orange blossom start this crisp, elegant white from Cephalonia. On the palate, bright flavors of lemon/lime and white peach are balanced with a stony minerality. A beautiful example of an ancient indigenous variety.";NA;"89";"22";"Cephalonia";NA;"Susan Kostrzewa";"Gentilini 2015 Robola (Cephalonia)";"Robola";"Gentilini"
"115602";"Greece";"Opulent aromas of Stargazer lily, toasted oak and fresh fruit lead this oak-aged white blend. On the palate, spicebox and toasted flavors mingle with citrus in this unique and full-bodied wine.";"The Fourth Dimension";"84";"20";"Macedonia";NA;"Susаn Kostrzewа";"Stelios Kechris 2014 The Fourth Dimension White (Macedonia)";"White Blend";"Stelios Kechris"
"115362";"Greece";"This white blend offers floral aromas and a medium-bodied array of honey, spice and citrus. Big enough to pair with richer seafood dishes.";"Agioritikos Regional Dry White Wine";"83";"18";"Greece";NA;"Susan Kostrzewa";"Protopapas 2005 Agioritikos Regional Dry White Wine White (Greece)";"White Blend";"Protopapas"
"115355";"Greece";"This rustic red starts with a nose of red berry, vanilla, pepper and mocha, followed by a full body of spicy dark chocolate, forest fruits and pepper. Pair with grilled meats.";"Mythic River";"83";"13";"Nemea";NA;"Susаn Kоstrzеwа";"Estate Constantin Gofas 2005 Mythic River Agiorgitiko (Nemea)";"Agiorgitiko";"Estate Constantin Gofas"
"115336";"Greece";"A spicy, floral nose leads into flavors of peach and apple in this assertive Sauvignon Blanc. Dry, medium-bodied and full of fruit, the wine is a nice solo sip or can be paired with anything from grilled seafood to Asian cuisine.";NA;"83";"17";"Greece";NA;"Susan Kostrzewa";"Protopapas 2007 Sauvignon Blanc (Greece)";"Sauvignon Blanc";"Protopapas"
"114182";"Greece";"The alluring perfume of Traminer leads on this pretty wine, whose subtle and refreshing lemon/citrus flavors are delivered with a touch of flowers. Though a bit lean, the wine has a nice fruit profile and will pair well with spicy cuisine such as Indian or Thai.";NA;"84";"17";"Greece";NA;"Susаn Kоstrzewа";"Protopapas 2007 Traminer (Greece)";"Traminer";"Protopapas"
"114060";"Greece";"This appealing red starts with a nose bursting with exotic tobacco, cocoa and red berries, followed by a juicy palate of black fruit, cocoa and sweet smoke. The oak is obvious here, offering vanilla and spicy notes, but the round fruit character keeps the wine in check. Elegant and fun.";"Reserve";"91";"23";"Rapsani";NA;"Susаn Kostrzеwа";"Tsantali 2010 Reserve Red (Rapsani)";"Red Blend";"Tsantali"
"113987";"Greece";"This elegant wine typifies Moschofilero's alluring nature, with an opulent nose redolent of rose, violet and citrus, and fresh and elegant flavors of melon and lemon.";NA;"91";"17";"Mantinia";NA;"Susan Kostrzewa";"Tselepos 2015 Moschofilero (Mantinia)";"Moschofilero";"Tselepos"
"113948";"Greece";"Bright aromas of citrus and tropical fruit give this easygoing white an easy appeal. Balanced and fresh, it's an elegant wine that will pair well with grilled fish and salads.";NA;"89";"21";"Santorini";NA;"Susan Kоstrzewa";"Boutari 2013 Assyrtiko (Santorini)";"Assyrtiko";"Boutari"
"113948";"Greece";"Bright aromas of citrus and tropical fruit give this easygoing white an easy appeal. Balanced and fresh, it's an elegant wine that will pair well with grilled fish and salads.";NA;"89";"21";"Santorini";NA;"Susan Kostrzеwa";"Boutari 2013 Assyrtiko (Santorini)";"Assyrtiko";"Boutari"
"113946";"Greece";"Peach, pear and lemon on the nose start this cheerful white from Alpha Estate. On the palate, it offers some complexity of exotic fruit and with a vein of acidity. Soft overall in profile, this wine is easygoing and enjoyable.";"Axia Malagouzia";"89";"18";"Florina";NA;"Susаn Kоstrzеwа";"Alpha Estate 2013 Axia Malagouzia Malagouzia (Florina)";"Malagouzia";"Alpha Estate"
"113304";"Greece";"This 100% Assyrtiko Retsina shows the versatility of this variety and will challenge the modern wine drinker's perception of the traditional pour. Intense aromas of lime and lemon mingle with a spin of crushed thyme, honey and vanilla. On the palate, vibrant fruit and a flinty minerality prevail. The wine finishes long and clean. Pair with fatty fish like lobster or fried sardines.";"Tear of the Pine";"92";"20";"Retsina";NA;"Susan Kostrzewa";"Kechris 2015 Tear of the Pine Assyrtico (Retsina)";"Assyrtico";"Kechris"
"113254";"Greece";"Sea salt and fresh white flowers lead the nose of this light, aromatic white. On the palate, the wine is focused and fresh, with a swash of sea salt and clean, brisk fruit on the finish. Pair with grilled seafood and salads.";"Ex'arnon Sauvignon Blanc-Assyrtiko";"90";"16";"Chalkidiki";NA;"Susаn Kostrzеwа";"Claudia Papayianni 2013 Ex'arnon Sauvignon Blanc-Assyrtiko White (Chalkidiki)";"White Blend";"Claudia Papayianni"
"113254";"Greece";"Sea salt and fresh white flowers lead the nose of this light, aromatic white. On the palate, the wine is focused and fresh, with a swash of sea salt and clean, brisk fruit on the finish. Pair with grilled seafood and salads.";"Ex'arnon Sauvignon Blanc-Assyrtiko";"90";"16";"Chalkidiki";NA;"Susаn Kоstrzewа";"Claudia Papayianni 2013 Ex'arnon Sauvignon Blanc-Assyrtiko White (Chalkidiki)";"White Blend";"Claudia Papayianni"
"112941";"Greece";"Cigarbox, cinnamon and clove aromas are followed by pepper, tea leaf and cherry on the palate of this traditional-style Agiorgitiko. Subtle and a bit spicy, this should pair well with brick-oven pizza with tangy cheese or lamb kebabs.";NA;"84";"17";"Nemea";NA;"Susаn Kostrzewа";"Greek Wine Cellars 2009 Agiorgitiko (Nemea)";"Agiorgitiko";"Greek Wine Cellars"
"112941";"Greece";"Cigarbox, cinnamon and clove aromas are followed by pepper, tea leaf and cherry on the palate of this traditional-style Agiorgitiko. Subtle and a bit spicy, this should pair well with brick-oven pizza with tangy cheese or lamb kebabs.";NA;"84";"17";"Nemea";NA;"Susan Kostrzewa";"Greek Wine Cellars 2009 Agiorgitiko (Nemea)";"Agiorgitiko";"Greek Wine Cellars"
"112940";"Greece";"Simple but satifisfying, this wine exhibits good fruit, pretty aromatics and a spicy kick. It's a little out of focus and lacks acidity, but overall, this is a pleasing everyday white.";"Moschofilero-Moschato";"84";"18";"Peloponnese";NA;"Susan Kоstrzewa";"Dionysos 2010 Moschofilero-Moschato White (Peloponnese)";"White Blend";"Dionysos"
"112938";"Greece";"Vanilla, orange marmalade and butterscotch aromas intrigue in this more voluptuous white. On the palate, flavors of butterscotch and orange peel are unique but the white could use a touch more balancing acidity. Overall though, this is a unique everyday wine.";"Chidiriotiko Blanc de Noirs";"84";"14";"Lesbos";NA;"Susan Kostrzewa";"Methymnaeos 2010 Chidiriotiko Blanc de Noirs White (Lesbos)";"White Blend";"Methymnaeos"
"112239";"Greece";"Black cherry, currants and plums on the nose lead into a delicious balance of olive, plums and herbs on the palate. Dried currants, crushes stone and leather are also in the mix, with a chalky finish keeping the wine on track. Keep this one in the cellar or drink now with lamb or olive tapenade.";"Ramnista Single Vineyard";"92";"27";"Naoussa";NA;"Susan Kostrzеwa";"Kir-Yianni 2012 Ramnista Single Vineyard Xinomavro (Naoussa)";"Xinomavro";"Kir-Yianni"
"112238";"Greece";"Lemon, orange blossom and rose aromas start this exotic and refreshing wine. On the palate, bright flavors of citrus mingle with melon and pepper. Easygoing but distinctive.";NA;"92";"17";"Mantinia";NA;"Susan Kostrzewa";"Boutari 2016 Moschofilero (Mantinia)";"Moschofilero";"Boutari"
"112150";"Greece";"Mushroom, cedar and smoke on the nose leads this Mandilari from Crete. Often used as a blending grape, here it offers approachable aromas of jasmine, anise and cocoa with flavors of berry, plum and spice. The wine has good structure and balance, and can age for several years.";"Plakoura Vineyard Oak Aged";"90";"25";"Crete";NA;"Susаn Kostrzewа";"Lyrarakis 2013 Plakoura Vineyard Oak Aged Mandilaria (Crete)";"Mandilaria";"Lyrarakis"
"112044";"Greece";"This refined Malagouzia starts with a fleshy peach and melon nose, followed by pronounced flavors of peach, citrus and spice on the palate. Balanced and pretty, the fruit tones linger on the finish.";"Alexandra";"90";"20";"Chalkidiki";NA;"Susan Kostrzewa";"Claudia Papayianni 2013 Alexandra Malagouzia (Chalkidiki)";"Malagouzia";"Claudia Papayianni"
"112039";"Greece";"This full-bodied Assyrtico offers aromas of pineapple, citrus and spice on the nose, while the palate brings layers of fruit, minerals and lemon. Delicious with a good acidity, imagine this white with grilled chicken or fish.";NA;"90";"19";"Santorini";NA;"Susan Kostrzewa";"Athiná 2012 Assyrtico (Santorini)";"Assyrtico";"Athiná"
"111551";"Greece";"Aromas of mint, cedar and spices are followed by medium-bodied vanilla and berry flavors in this approachable red from Greece. The dry-style red offers good acidity and balance and will pair well with dishes of the Mediterranean—think olives, grilled lamb, moussaka.";NA;"84";"17";"Naoussa";NA;"Susan Kostrzewa";"Boutari 2005 Xinomavro (Naoussa)";"Xinomavro";"Boutari"
"111290";"Greece";"Dried cherry, crushed herbs and a spin of cocoa is the first whiff of this poised and meaty wine. Fresh cherries, olives and cinnamon on the palate are integrated and unfold into a lingering finish. This wine begs for a juicy steak or lamb stew.";"Reserve";"88";"25";"Naoussa";NA;"Susan Kostrzewa";"Tsantali 2011 Reserve Xinomavro (Naoussa)";"Xinomavro";"Tsantali"
"111290";"Greece";"Dried cherry, crushed herbs and a spin of cocoa is the first whiff of this poised and meaty wine. Fresh cherries, olives and cinnamon on the palate are integrated and unfold into a lingering finish. This wine begs for a juicy steak or lamb stew.";"Reserve";"88";"25";"Naoussa";NA;"Susаn Kоstrzеwа";"Tsantali 2011 Reserve Xinomavro (Naoussa)";"Xinomavro";"Tsantali"
"111286";"Greece";"Exotic aromas of spice and herbs are followed by a fresh fruit palate and a peppery finish in this appealing and playful white.";NA;"88";"18";"Mantinia";NA;"Susan Kоstrzewa";"Domaine Spiropoulos 2015 Moschofilero (Mantinia)";"Moschofilero";"Domaine Spiropoulos"
"111286";"Greece";"Exotic aromas of spice and herbs are followed by a fresh fruit palate and a peppery finish in this appealing and playful white.";NA;"88";"18";"Mantinia";NA;"Susan Kostrzewa";"Domaine Spiropoulos 2015 Moschofilero (Mantinia)";"Moschofilero";"Domaine Spiropoulos"
"111069";"Greece";"Aromas of apricot, tropical fruit and spice lead this refreshing and expressive white. On the palate, it tastes floral, with a thread of honeyed sweetness, but the acidity gives it bounce. Fun and friendly.";NA;"85";"39";"Epanomi";NA;"Susan Kostrzewa";"Gerovassiliou 2010 Viognier (Epanomi)";"Viognier";"Gerovassiliou"
"110868";"Greece";"Cedar, cinnamon and black cherry aromas offer friendly and generous appeal here. The wine is fruit-forward and friendly with blueberry, black cherry and pepper on the palate. An easy drinking but elegant choice.";"Reserve Vieilles Vignes Unfiltered";"87";"38";"Amyndeon";NA;"Susan Kostrzewa";"Alpha Estate 2010 Reserve Vieilles Vignes Unfiltered Xinomavro (Amyndeon)";"Xinomavro";"Alpha Estate"
"110865";"Greece";"Grown in the upland vineyard of Pyrgos, this Assyrtiko offers citrus and spice aromas and a full-bodied flavor profile. Citrus, vanilla and minerals dominate the palate. Air with more robust vegetable or fish dishes.";"Assyrtiko by Gaia Wild Ferment";"87";"36";"Santorini";NA;"Susan Kostrzewa";"Gaia Wines 2013 Assyrtiko by Gaia Wild Ferment Assyrtico (Santorini)";"Assyrtico";"Gaia Wines"
"110793";"Greece";"This white blend starts with a nose of toasted spice and lemon peel, leading into a fresh, citric character heavy in minerality. Clean and lively, it's a great choice for spicy dishes or drinking on a hot day.";"Adoli Ghis";"87";"19";"Greece";NA;"Susan Kostrzеwa";"Antonopoulos 2005 Adoli Ghis White (Greece)";"White Blend";"Antonopoulos"
"110779";"Greece";"This native white (70% Roditis and 30% Batiki) blend offers a zippy but floral nose and flavors of lemon, oregano and flowers on the palate. Fresh acidity and rich fruit flavors add up to a delightful, approachable white with character. Pair with lighter seafood and poultry dishes.";"Methistanes";"87";"14";"Thessalikos";NA;"Susаn Kostrzewа";"Dougos 2006 Methistanes White (Thessalikos)";"White Blend";"Dougos"
